测试,#genre#
天映经典,https://cdn9.163189.xyz/smt3.1.1.php?id=Celestial2
天映经典1,http://php.jdshipin.com/smt.php?id=Celestial2
数字,#genre#
邵氏影院,https://www.goodiptv.club/douyu/4246519#http://www.douzhicloud.site:35455/douyu/4246519
爱奇艺,https://smt.1678520.xyz/smt3.2.1.php?id=Qiyi
搜狐剧场,https://hdl-vip-ws.qf.56.com/live/lc_11730.flv
1905国内电影,http://php.jdshipin.com:8880/1905.php?id=1905hqyy#http://php.jdshipin.com:8880/1905.php?id=1905dy#https://cdn.jdshipin.com/1905.php
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd#http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
TVB亚洲武侠,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx#http://php.jdshipin.com:8880/TVOD/iptv.php?id=yzwx
美亚电影台,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
CHC动作电影,http://192.168.2.1:4022/udp/239.81.0.239:4056
CHC影迷电影,http://192.168.2.1:4022/udp/239.81.0.240:4056
CHC家庭影院,http://192.168.2.1:4022/udp/239.81.0.238:4056
移动源,#genre#
广西卫视,http://39.135.32.28:6610/PLTV/77777777/224/3221225767/index.m3u8?servicetype=1&IASHttpSessionId=OTT
广西卫视,http://111.12.102.79:6610/PLTV/77777777/224/3221225767/index.m3u8?servicetype=1&IASHttpSessionId=OTT
广西新闻,http://39.135.32.28:6610/PLTV/77777777/224/3221226407/index.m3u8?servicetype=1&IASHttpSessionId=OTT
广西新闻,http://111.12.102.79:6610/PLTV/77777777/224/3221226407/index.m3u8?servicetype=1&IASHttpSessionId=OTT
广西综艺旅游,http://39.135.32.28:6610/PLTV/77777777/224/3221226409/index.m3u8?servicetype=1&IASHttpSessionId=OTT
广西综艺旅游,http://111.12.102.79:6610/PLTV/77777777/224/3221226409/index.m3u8?servicetype=1&IASHttpSessionId=OTT
广西都市,http://39.135.32.28:6610/PLTV/77777777/224/3221226335/index.m3u8?servicetype=1&IASHttpSessionId=OTT
广西都市,http://111.12.102.79:6610/PLTV/77777777/224/3221226335/index.m3u8?servicetype=1&IASHttpSessionId=OTT
广西影视,http://39.135.32.28:6610/PLTV/77777777/224/3221226336/index.m3u8?servicetype=1&IASHttpSessionId=OTT
广西影视,http://111.12.102.79:6610/PLTV/77777777/224/3221226336/index.m3u8?servicetype=1&IASHttpSessionId=OTT
广西移动,http://39.135.32.28:6610/PLTV/77777777/224/3221226338/index.m3u8?servicetype=1&IASHttpSessionId=OTT
广西移动,http://111.12.102.79:6610/PLTV/77777777/224/3221226338/index.m3u8?servicetype=1&IASHttpSessionId=OTT
南宁新闻综合,http://39.135.32.28:6610/PLTV/77777777/224/3221226341/index.m3u8?servicetype=1&IASHttpSessionId=OTT
南宁新闻综合,http://111.12.102.79:6610/PLTV/77777777/224/3221226341/index.m3u8?servicetype=1&IASHttpSessionId=OTT
南宁公共,http://39.135.32.28:6610/PLTV/77777777/224/3221226340/index.m3u8?servicetype=1&IASHttpSessionId=OTT
南宁公共,http://111.12.102.79:6610/PLTV/77777777/224/3221226340/index.m3u8?servicetype=1&IASHttpSessionId=OTT
南宁影视娱乐,http://39.135.32.28:6610/PLTV/77777777/224/3221226337/index.m3u8?servicetype=1&IASHttpSessionId=OTT
南宁影视娱乐,http://111.12.102.79:6610/PLTV/77777777/224/3221226337/index.m3u8?servicetype=1&IASHttpSessionId=OTT
南宁文旅生活,http://39.135.32.28:6610/PLTV/77777777/224/3221226344/index.m3u8?servicetype=1&IASHttpSessionId=OTT
南宁文旅生活,http://111.12.102.79:6610/PLTV/77777777/224/3221226344/index.m3u8?servicetype=1&IASHttpSessionId=OTT
柳州新闻综合,http://39.135.32.28:6610/PLTV/77777777/224/3221226348/index.m3u8?servicetype=1&IASHttpSessionId=OTT
柳州新闻综合,http://111.12.102.79:6610/PLTV/77777777/224/3221226348/index.m3u8?servicetype=1&IASHttpSessionId=OTT
柳州科教,http://39.135.32.28:6610/PLTV/77777777/224/3221226434/index.m3u8?servicetype=1&IASHttpSessionId=OTT
柳州科教,http://111.12.102.79:6610/PLTV/77777777/224/3221226434/index.m3u8?servicetype=1&IASHttpSessionId=OTT
河池新闻综合,http://39.135.32.28:6610/PLTV/77777777/224/3221226356/index.m3u8?servicetype=1&IASHttpSessionId=OTT
河池新闻综合,http://111.12.102.79:6610/PLTV/77777777/224/3221226356/index.m3u8?servicetype=1&IASHttpSessionId=OTT
北海新闻综合,http://39.135.32.28:6610/PLTV/77777777/224/3221226346/index.m3u8?servicetype=1&IASHttpSessionId=OTT
北海新闻综合,http://111.12.102.79:6610/PLTV/77777777/224/3221226346/index.m3u8?servicetype=1&IASHttpSessionId=OTT
北海经济科教,http://39.135.32.28:6610/PLTV/77777777/224/3221226431/index.m3u8?servicetype=1&IASHttpSessionId=OTT
